Goal,Target,Indicator,SeriesCode,SeriesDescription,GeoAreaCode,GeoAreaName,Food Waste Sector,Units,2016,2017,2018,point,lat,lng
12,12.3,12.3.1,AG_FOOD_WST_PC,Food waste per capita (KG),308,Grenada,HHS,KG,,,,72.43087,12.262776,-61.604171
12,12.3,12.3.1,AG_FOOD_WST_PC,Food waste per capita (KG),308,Grenada,OOHC,KG,,,,27.64758,12.262776,-61.604171
12,12.3,12.3.1,AG_FOOD_WST_PC,Food waste per capita (KG),308,Grenada,RTL,KG,,,,15.63995,12.262776,-61.604171
12,12.4,12.4.2,EN_HAZ_PCAP,"Hazardous waste generated, per capita (Kg)",312,Guadeloupe,N/A,KG,25.07505,27.51458,28.52584,30.0289,16.995971,-62.067641
12,12.3,12.3.1,AG_FOOD_WST_PC,Food waste per capita (KG),316,Guam,HHS,KG,,,,78.69268,13.444304,144.793731
12,12.3,12.3.1,AG_FOOD_WST_PC,Food waste per capita (KG),316,Guam,OOHC,KG,,,,25.57118,13.444304,144.793731
12,12.3,12.3.1,AG_FOOD_WST_PC,Food waste per capita (KG),316,Guam,RTL,KG,,,,12.81169,13.444304,144.793731
12,12.3,12.3.1,AG_FOOD_WST_PC,Food waste per capita (KG),320,Guatemala,HHS,KG,,,,72.43226,15.783471,-90.230759
12,12.3,12.3.1,AG_FOOD_WST_PC,Food waste per capita (KG),320,Guatemala,OOHC,KG,,,,27.64811,15.783471,-90.230759
12,12.3,12.3.1,AG_FOOD_WST_PC,Food waste per capita (KG),320,Guatemala,RTL,KG,,,,15.64025,15.783471,-90.230759
12,12.3,12.3.1,AG_FOOD_WST_PC,Food waste per capita (KG),324,Guinea,HHS,KG,,,,102.69396,9.945587,-9.696645
12,12.3,12.3.1,AG_FOOD_WST_PC,Food waste per capita (KG),324,Guinea,OOHC,KG,,,,27.64797,9.945587,-9.696645
12,12.3,12.3.1,AG_FOOD_WST_PC,Food waste per capita (KG),324,Guinea,RTL,KG,,,,15.64017,9.945587,-9.696645
12,12.3,12.3.1,AG_FOOD_WST_PC,Food waste per capita (KG),328,Guyana,HHS,KG,,,,72.43448,4.860416,-58.93018
12,12.3,12.3.1,AG_FOOD_WST_PC,Food waste per capita (KG),328,Guyana,OOHC,KG,,,,27.64896,4.860416,-58.93018
12,12.3,12.3.1,AG_FOOD_WST_PC,Food waste per capita (KG),328,Guyana,RTL,KG,,,,15.64073,4.860416,-58.93018
12,12.3,12.3.1,AG_FOOD_WST_PC,Food waste per capita (KG),332,Haiti,HHS,KG,,,,83.18688,18.971187,-72.285215
12,12.3,12.3.1,AG_FOOD_WST_PC,Food waste per capita (KG),332,Haiti,OOHC,KG,,,,27.64813,18.971187,-72.285215
12,12.3,12.3.1,AG_FOOD_WST_PC,Food waste per capita (KG),332,Haiti,RTL,KG,,,,15.64026,18.971187,-72.285215
12,12.3,12.3.1,AG_FOOD_WST_PC,Food waste per capita (KG),340,Honduras,HHS,KG,,,,80.08357,15.199999,-86.241905
12,12.3,12.3.1,AG_FOOD_WST_PC,Food waste per capita (KG),340,Honduras,OOHC,KG,,,,27.64803,15.199999,-86.241905
12,12.3,12.3.1,AG_FOOD_WST_PC,Food waste per capita (KG),340,Honduras,RTL,KG,,,,15.6402,15.199999,-86.241905
12,12.3,12.3.1,AG_FOOD_WST_PC,Food waste per capita (KG),344,Hong Kong,HHS,KG,,,,71.40583,22.396428,114.109497
12,12.3,12.3.1,AG_FOOD_WST_PC,Food waste per capita (KG),344,Hong Kong,OOHC,KG,,,,25.57057,22.396428,114.109497
12,12.3,12.3.1,AG_FOOD_WST_PC,Food waste per capita (KG),344,Hong Kong,RTL,KG,,,,12.81138,22.396428,114.109497
12,12.3,12.3.1,AG_FOOD_WST_PC,Food waste per capita (KG),348,Hungary,HHS,KG,,,,93.82541,47.162494,19.503304
12,12.3,12.3.1,AG_FOOD_WST_PC,Food waste per capita (KG),348,Hungary,OOHC,KG,,,,25.57047,47.162494,19.503304
12,12.3,12.3.1,AG_FOOD_WST_PC,Food waste per capita (KG),348,Hungary,RTL,KG,,,,12.81134,47.162494,19.503304
12,12.3,12.3.1,AG_FOOD_WST_PC,Food waste per capita (KG),352,Iceland,HHS,KG,,,,76.17717,64.963051,-19.020835
12,12.3,12.3.1,AG_FOOD_WST_PC,Food waste per capita (KG),352,Iceland,OOHC,KG,,,,25.56763,64.963051,-19.020835
12,12.3,12.3.1,AG_FOOD_WST_PC,Food waste per capita (KG),352,Iceland,RTL,KG,,,,12.80991,64.963051,-19.020835
12,12.3,12.3.1,AG_FOOD_WST_PC,Food waste per capita (KG),356,India,HHS,KG,,,,50.32148,20.593684,78.96288
12,12.3,12.3.1,AG_FOOD_WST_PC,Food waste per capita (KG),356,India,OOHC,KG,,,,27.64808,20.593684,78.96288
12,12.3,12.3.1,AG_FOOD_WST_PC,Food waste per capita (KG),356,India,RTL,KG,,,,15.64023,20.593684,78.96288
12,12.4,12.4.2,EN_HAZ_PCAP,"Hazardous waste generated, per capita (Kg)",356,India,N/A,KG,3.88856,5.3581,6.98032,6.32254,20.593684,78.96288
12,12.3,12.3.1,AG_FOOD_WST_PC,Food waste per capita (KG),360,Indonesia,HHS,KG,,,,77.36982,-0.789275,113.921327
12,12.3,12.3.1,AG_FOOD_WST_PC,Food waste per capita (KG),360,Indonesia,OOHC,KG,,,,27.64808,-0.789275,113.921327
12,12.3,12.3.1,AG_FOOD_WST_PC,Food waste per capita (KG),360,Indonesia,RTL,KG,,,,15.64023,-0.789275,113.921327
12,12.3,12.3.1,AG_FOOD_WST_PC,Food waste per capita (KG),364,Iran (Islamic Republic of),HHS,KG,,,,70.97534,32.427908,53.688046
12,12.3,12.3.1,AG_FOOD_WST_PC,Food waste per capita (KG),364,Iran (Islamic Republic of),OOHC,KG,,,,27.64808,32.427908,53.688046
12,12.3,12.3.1,AG_FOOD_WST_PC,Food waste per capita (KG),364,Iran (Islamic Republic of),RTL,KG,,,,15.64023,32.427908,53.688046
12,12.3,12.3.1,AG_FOOD_WST_PC,Food waste per capita (KG),368,Iraq,HHS,KG,,,,120.43907,33.223191,43.679291
12,12.3,12.3.1,AG_FOOD_WST_PC,Food waste per capita (KG),368,Iraq,OOHC,KG,,,,27.64808,33.223191,43.679291
12,12.3,12.3.1,AG_FOOD_WST_PC,Food waste per capita (KG),368,Iraq,RTL,KG,,,,15.64023,33.223191,43.679291
